Garment Name:,Eylet with sheer long sleeves blk,,Retailer:,Banana Republic,,Style #,932102-00-1,,,Date:,31-Oct,,,,,,,,,,,,Size 00,,,,,,,,Size 0,,,,,,,,Size 2,,,,,,,,Size 4,,,,,,,,Size 6,,,,,,,,Size 8,,,,,,,,Size 10,,,,,,,,Size 12,,,,,,,,Size 14,,,,,,,,Size 16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,,XS,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,S,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,M,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,L,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,XL,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High
,,,,,,XL,,XXL,,XXL,,,,,,,,,,Floor length,Floor length,Mid-Calf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,With Train,With Train,Tea length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colors Available,BLACK,COUNTRY BEIGE,,,,,,,,,,,,,,,,,,,,Maxi,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,,vertical measurements,,,horizontal/circular measurements,,,,
Fiber Content,,,,,,,,,,,,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/Trouser,Pant/Jean,Skirt,Dress,Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.00%,Cotton,0.00%,Poly,0.00%,Rayon/Modal,0.00%,Acrylic,0.00%,Linen,0.00%,Other,Crew neck,Crew neck,Turtle neck,Turtle neck,Single Breasted Lapels,Turtle neck,n/a,n/a,n/a,Turtle neck,Single Breasted Lapels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00%,Silk,43.00%,Nylon,0.00%,Lycra/Spandex,0.00%,Wool,0.00%,Other,0.00%,Other,Jewel neck,Jewel neck,Crew neck,Crew neck,Double Breasted Lapels,Crew neck,,,,Crew neck,Double Breasted Lapels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bateau neck,Bateau neck,Jewel neck,Jewel neck,Shawl Single Breasted,Jewel neck,,,,Jewel neck,Shawl Single Breasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Scoop neck,Scoop neck,Bateau neck,Bateau neck,Shawl Double Breasted,Bateau neck,,,,Bateau neck,Shawl Double Breasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ballet neck,Ballet neck,Scoop neck,Scoop neck,V-neck,Scoop neck,,,,Scoop neck,V-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,V neck,V neck,Ballet neck,Ballet neck,Jewel Neck,Ballet neck,,,,Ballet neck,Jewel Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
